,City,Country,Lat,Lng,Date,Cloudiness,Humidity,MAX Temp,Wind Speed
0,najran,SA,17.54,44.22,1563603856,90,16,306.15,4.1
1,cape town,ZA,-33.93,18.42,1563604124,40,87,283.71,1.5
2,ponta do sol,BR,-20.63,-46.0,1563603890,9,85,283.5,2.68
3,yumen,CN,40.29,97.04,1563603907,99,11,305.9,2.59
4,mataura,NZ,-46.19,168.86,1563603924,100,98,282.04,1.79
5,totness,US,33.74,-80.8,1563603941,1,88,298.15,2.67
6,ruwi,OM,23.6,58.55,1563603958,0,75,305.15,3.1
7,albany,US,42.65,-73.75,1563603898,75,74,300.15,2.9
8,mar del plata,AR,-46.43,-67.52,1563604001,30,62,275.0,8.45
9,kodiak,US,39.95,-94.76,1563604030,1,70,303.15,4.6
